# Ticker: FTSEMIB
# yfinance symbol: FTSEMIB.MI
# Generated: 2026-08-27T00:01:47.601867+00:00
# Bars: 197
Date,Open,High,Low,Close,Volume
2026-05-27 04:00:00+00:00,49997.609375,50127.3984375,49957.71875,49958.12890625,0
2026-05-27 08:00:00+00:00,49956.26953125,50107.03125,49902.44140625,49905.80078125,0
2026-05-27 12:00:00+00:00,49907.33984375,50121.12109375,49463.1015625,49651.48828125,0
2026-05-28 04:00:00+00:00,49408.0390625,49655.78125,49400.859375,49568.87109375,0
2026-05-28 08:00:00+00:00,49570.05859375,49717.55078125,49481.7890625,49621.30859375,0
2026-05-28 12:00:00+00:00,49621.109375,49970.859375,49529.76171875,49854.55859375,0
2026-05-29 04:00:00+00:00,49964.41015625,50080.80078125,49941.66015625,50067.58984375,0
2026-05-29 08:00:00+00:00,50072.109375,50210.8203125,49965.078125,50155.75,0
2026-05-29 12:00:00+00:00,50155.0703125,50208.671875,49933.8203125,49978.37890625,0
2026-06-01 04:00:00+00:00,49998.01171875,50187.01953125,49982.921875,50081.078125,0
2026-06-01 08:00:00+00:00,50081.62109375,50146.1484375,49999.55859375,50093.2109375,0
2026-06-01 12:00:00+00:00,50093.08984375,50139.5,49532.91015625,49712.01171875,0
2026-06-02 04:00:00+00:00,50158.9296875,50469.109375,50107.7890625,50460.01171875,0
2026-06-02 08:00:00+00:00,50462.58984375,50538.7109375,50245.7890625,50363.76171875,0
2026-06-02 12:00:00+00:00,50360.0,50553.0,50180.01171875,50536.58984375,0
2026-06-03 04:00:00+00:00,50399.08984375,50438.171875,50212.1015625,50369.7890625,0
2026-06-03 08:00:00+00:00,50371.671875,50526.3203125,50306.55859375,50370.51953125,0
2026-06-03 12:00:00+00:00,50369.4609375,50409.05078125,50107.5,50178.1015625,0
2026-06-04 04:00:00+00:00,49976.08984375,50242.44140625,49907.44921875,50162.44921875,0
2026-06-04 08:00:00+00:00,50163.19921875,50168.6484375,49759.05859375,49990.23046875,0
2026-06-04 12:00:00+00:00,49987.80078125,50154.55078125,49923.3984375,50118.87109375,0
2026-06-05 04:00:00+00:00,50248.609375,50248.609375,50053.328125,50071.4296875,0
2026-06-05 08:00:00+00:00,50072.87890625,50319.37109375,49962.98046875,50283.66015625,0
2026-06-05 12:00:00+00:00,50285.78125,50287.7890625,49869.23828125,49930.5,0
2026-06-08 04:00:00+00:00,49409.7109375,49921.98046875,49364.16015625,49819.01171875,0
2026-06-08 08:00:00+00:00,49818.83984375,50244.44140625,49745.03125,50170.4296875,0
2026-06-08 12:00:00+00:00,50171.01953125,50308.44921875,50093.19140625,50229.5390625,0
2026-06-09 04:00:00+00:00,50283.109375,50843.0390625,50275.33984375,50841.421875,0
2026-06-09 08:00:00+00:00,50841.08984375,51239.2109375,50820.9296875,51129.37109375,0
2026-06-09 12:00:00+00:00,51127.23828125,51239.1484375,50273.75,50275.75,0
2026-06-10 04:00:00+00:00,50518.671875,50752.9296875,50478.37890625,50745.0703125,0
2026-06-10 08:00:00+00:00,50745.41015625,50755.9296875,49797.30859375,50125.98046875,0
2026-06-10 12:00:00+00:00,50127.87890625,50438.1015625,50002.23828125,50087.98046875,0
2026-06-11 04:00:00+00:00,50224.921875,50509.9296875,50164.96875,50412.05078125,0
2026-06-11 08:00:00+00:00,50408.46875,50794.01171875,50408.46875,50760.76953125,0
