# Ticker: 005930
# yfinance symbol: 005930.KS
# Generated: 2026-08-02T14:32:43.248157+00:00
# Bars: 122
Date,Open,High,Low,Close,Volume
2026-05-04 00:00:00+00:00,228000.0,231000.0,224000.0,230000.0,14076585
2026-05-04 04:00:00+00:00,230000.0,232000.0,229000.0,231500.0,7881426
2026-05-06 00:00:00+00:00,254000.0,270000.0,251000.0,266000.0,15840281
2026-05-06 04:00:00+00:00,266250.0,269000.0,264000.0,268250.0,8329667
2026-05-07 00:00:00+00:00,272000.0,277000.0,260000.0,266000.0,28045984
2026-05-07 04:00:00+00:00,266000.0,274000.0,264500.0,271500.0,8268709
2026-05-08 00:00:00+00:00,260000.0,268500.0,260000.0,265750.0,17411439
2026-05-08 04:00:00+00:00,265500.0,270000.0,264500.0,268500.0,5109144
2026-05-11 00:00:00+00:00,284500.0,288500.0,280000.0,286000.0,12108983
2026-05-11 04:00:00+00:00,285500.0,288000.0,284000.0,284250.0,7193499
2026-05-12 00:00:00+00:00,290000.0,291500.0,266000.0,276500.0,27214480
2026-05-12 04:00:00+00:00,276750.0,279000.0,271500.0,278000.0,8241535
2026-05-13 00:00:00+00:00,264000.0,282000.0,262000.0,281500.0,23233365
2026-05-13 04:00:00+00:00,281750.0,285500.0,279500.0,284750.0,8731418
2026-05-14 00:00:00+00:00,282000.0,299500.0,282000.0,290000.0,25392521
2026-05-14 04:00:00+00:00,290500.0,295000.0,289500.0,294000.0,6544299
2026-05-15 00:00:00+00:00,291000.0,296500.0,278500.0,280250.0,20503234
2026-05-15 04:00:00+00:00,280250.0,280250.0,267000.0,268000.0,11615138
2026-05-18 00:00:00+00:00,269500.0,288500.0,262000.0,283500.0,14650727
2026-05-18 04:00:00+00:00,284000.0,285500.0,277500.0,283000.0,5482034
2026-05-19 00:00:00+00:00,274000.0,278500.0,266000.0,276500.0,18560082
2026-05-19 04:00:00+00:00,276500.0,281500.0,271000.0,279750.0,6885205
2026-05-20 00:00:00+00:00,278000.0,282500.0,263500.0,269000.0,23377592
2026-05-20 04:00:00+00:00,268500.0,275000.0,268500.0,273500.0,6776880
2026-05-21 00:00:00+00:00,291000.0,298000.0,287000.0,297000.0,22959873
2026-05-21 04:00:00+00:00,296500.0,299000.0,295000.0,298750.0,8313561
2026-05-22 00:00:00+00:00,300000.0,300500.0,292000.0,292500.0,11331510
2026-05-22 04:00:00+00:00,292500.0,295000.0,292500.0,292750.0,4098463
2026-05-26 00:00:00+00:00,298000.0,302000.0,297500.0,300750.0,7020008
2026-05-26 04:00:00+00:00,301000.0,301500.0,299000.0,300500.0,4663760
