# Ticker: FTSEMIB
# yfinance symbol: FTSEMIB.MI
# Generated: 2026-08-26T21:31:17.627178+00:00
# Bars: 1271
# Daily-source: yfinance
# Daily-freshness: fresh (last-bar 2026-08-26, expected 2026-08-26)
Date,Close,High,Low,Open,Volume
2021-08-26,25862.0,26049.0,25835.0,25963.0,249266600
2021-08-27,26007.0,26013.0,25814.0,25858.0,197947300
2021-08-30,26024.0,26074.0,25944.0,26062.0,148386600
2021-08-31,26009.0,26205.0,25895.0,26051.0,353280200
2021-09-01,26182.0,26398.0,26095.0,26186.0,368480600
2021-09-02,26233.0,26263.0,26151.0,26172.0,275518300
2021-09-03,26065.0,26261.0,25971.0,26221.0,299511900
2021-09-06,26263.0,26298.0,26121.0,26129.0,215641300
2021-09-07,26074.0,26269.0,26038.0,26245.0,243791300
2021-09-08,25877.0,26064.0,25717.0,25949.0,341131500
2021-09-09,25910.0,26002.0,25643.0,25716.0,291664000
2021-09-10,25686.0,25991.0,25643.0,25962.0,374487100
2021-09-13,25926.0,26011.0,25793.0,25794.0,333632100
2021-09-14,26027.0,26130.0,25916.0,25944.0,332447700
2021-09-15,25762.0,26060.0,25688.0,26051.0,399956600
2021-09-16,25964.0,26105.0,25914.0,25917.0,359528800
2021-09-17,25710.0,26162.0,25710.0,26119.0,696227800
2021-09-20,25048.0,25396.0,24941.0,25355.0,471648300
2021-09-21,25353.0,25436.0,25169.0,25210.0,342132800
2021-09-22,25717.0,25717.0,25432.0,25529.0,357936200
2021-09-23,26081.0,26088.0,25854.0,25895.0,411942700
2021-09-24,25969.0,26082.0,25921.0,26022.0,355960400
2021-09-27,26132.0,26187.0,26010.0,26159.0,474510700
2021-09-28,25573.0,26223.0,25573.0,26156.0,490155200
2021-09-29,25737.0,25826.0,25577.0,25727.0,500922400
2021-09-30,25684.0,25938.0,25558.0,25901.0,519538600
2021-10-01,25615.0,25740.0,25276.0,25306.0,451575900
2021-10-04,25461.0,25722.0,25411.0,25541.0,360740600
2021-10-05,25956.0,25956.0,25520.0,25531.0,534430700
2021-10-06,25606.0,25784.0,25330.0,25782.0,536857600
2021-10-07,25992.0,26048.0,25761.0,25934.0,474763900
2021-10-08,26051.0,26095.0,25937.0,26023.0,383664800
2021-10-11,25930.0,26052.0,25805.0,25997.0,369413400
2021-10-12,25990.0,25990.0,25597.0,25636.0,327384700
2021-10-13,25959.0,26046.0,25858.0,25928.0,329950500
2021-10-14,26278.0,26317.0,26079.0,26123.0,413141500
2021-10-15,26489.0,26550.0,26349.0,26438.0,603041500
2021-10-18,26269.0,26386.0,26156.0,26332.0,412976400
2021-10-19,26333.0,26387.0,26256.0,26300.0,378157600
2021-10-20,26582.0,26609.0,26256.0,26274.0,392749400
2021-10-21,26525.0,26631.0,26386.0,26450.0,299329800
2021-10-22,26572.0,26682.0,26551.0,26582.0,257427900
2021-10-25,26816.0,26823.0,26573.0,26596.0,381634700
2021-10-26,26971.0,27049.0,26835.0,26877.0,340319900
2021-10-27,26806.0,26944.0,26759.0,26878.0,375187500
2021-10-28,26890.0,26938.0,26762.0,26821.0,748505700
2021-10-29,26876.0,26896.0,26629.0,26753.0,563963300
2021-11-01,27206.0,27303.0,27005.0,27020.0,416822700
2021-11-02,27190.0,27238.0,27097.0,27173.0,413299600
2021-11-03,27378.0,27378.0,27141.0,27168.0,373304600
2021-11-04,27522.0,27550.0,27405.0,27518.0,620753300
2021-11-05,27796.0,27867.0,27521.0,27526.0,755313700
2021-11-08,27711.0,27833.0,27711.0,27809.0,492955900
2021-11-09,27441.0,27719.0,27441.0,27662.0,364222500
