# Ticker: GDAXI
# yfinance symbol: ^GDAXI
# Generated: 2026-09-02T00:01:24.494302+00:00
# Bars: 198
Date,Open,High,Low,Close,Volume
2026-06-02 04:00:00+00:00,25197.900390625,25322.380859375,25192.580078125,25320.990234375,0
2026-06-02 08:00:00+00:00,25320.990234375,25362.830078125,25187.5703125,25210.05078125,0
2026-06-02 12:00:00+00:00,25210.05078125,25220.0390625,25061.66015625,25117.08984375,0
2026-06-03 04:00:00+00:00,24912.310546875,24973.150390625,24882.099609375,24953.390625,0
2026-06-03 08:00:00+00:00,24951.849609375,24965.009765625,24832.41015625,24912.859375,0
2026-06-03 12:00:00+00:00,24913.0390625,24925.509765625,24761.9609375,24814.419921875,0
2026-06-04 04:00:00+00:00,24849.4296875,24949.720703125,24830.630859375,24946.259765625,0
2026-06-04 08:00:00+00:00,24944.7109375,25001.01953125,24843.91015625,24949.689453125,0
2026-06-04 12:00:00+00:00,24949.689453125,25009.01953125,24870.44921875,24916.01953125,0
2026-06-05 04:00:00+00:00,24881.869140625,24946.669921875,24818.009765625,24908.16015625,0
2026-06-05 08:00:00+00:00,24908.75,25024.05078125,24868.76953125,24995.8203125,0
2026-06-05 12:00:00+00:00,24995.8203125,25007.73046875,24766.060546875,24774.4609375,0
2026-06-08 04:00:00+00:00,24447.3203125,24593.7890625,24426.609375,24532.619140625,0
2026-06-08 08:00:00+00:00,24532.94921875,24732.599609375,24490.4296875,24662.359375,0
2026-06-08 12:00:00+00:00,24662.30078125,24702.029296875,24605.2890625,24641.66015625,0
2026-06-09 04:00:00+00:00,24589.2890625,24687.91015625,24539.0,24667.16015625,0
2026-06-09 08:00:00+00:00,24667.16015625,24820.94921875,24654.490234375,24730.189453125,0
2026-06-09 12:00:00+00:00,24730.189453125,24812.599609375,24419.73046875,24420.009765625,0
2026-06-10 04:00:00+00:00,24507.400390625,24517.48046875,24420.130859375,24450.08984375,0
2026-06-10 08:00:00+00:00,24450.08984375,24455.3203125,24043.51953125,24225.630859375,0
2026-06-10 12:00:00+00:00,24225.630859375,24358.279296875,24200.44921875,24216.08984375,0
2026-06-11 04:00:00+00:00,24205.16015625,24244.189453125,24155.900390625,24168.4609375,0
2026-06-11 08:00:00+00:00,24167.98046875,24290.0390625,24167.759765625,24267.560546875,0
2026-06-11 12:00:00+00:00,24268.16015625,24327.689453125,24080.640625,24209.7890625,0
2026-06-12 04:00:00+00:00,24549.25,24735.26953125,24492.880859375,24646.330078125,0
2026-06-12 08:00:00+00:00,24646.810546875,24753.890625,24556.419921875,24579.080078125,0
2026-06-12 12:00:00+00:00,24579.080078125,24634.2109375,24421.8203125,24614.0390625,0
2026-06-15 04:00:00+00:00,25068.369140625,25085.80078125,25023.23046875,25024.1796875,0
2026-06-15 08:00:00+00:00,25024.1796875,25043.390625,24899.580078125,24963.80078125,0
2026-06-15 12:00:00+00:00,24964.029296875,25011.75,24882.009765625,24904.30078125,0
2026-06-16 04:00:00+00:00,24942.73046875,24998.099609375,24900.73046875,24989.5,0
2026-06-16 08:00:00+00:00,24989.779296875,25110.279296875,24979.439453125,25010.73046875,0
2026-06-16 12:00:00+00:00,25010.73046875,25054.919921875,24902.009765625,24915.939453125,0
2026-06-17 04:00:00+00:00,24816.9609375,24875.880859375,24797.75,24833.609375,0
2026-06-17 08:00:00+00:00,24831.939453125,24956.48046875,24763.529296875,24859.33984375,0
2026-06-17 12:00:00+00:00,24859.19921875,24942.0390625,24824.939453125,24931.6796875,0
2026-06-18 04:00:00+00:00,24996.5390625,25059.369140625,24956.30078125,24985.73046875,0
2026-06-18 08:00:00+00:00,24984.869140625,25008.390625,24840.26953125,24937.44921875,0
2026-06-18 12:00:00+00:00,24937.599609375,25057.060546875,24920.19921875,25030.859375,0
2026-06-19 04:00:00+00:00,25075.330078125,25160.640625,25055.279296875,25155.0390625,0
2026-06-19 08:00:00+00:00,25155.0390625,25173.01953125,25012.080078125,25043.55078125,0
2026-06-19 12:00:00+00:00,25043.740234375,25090.779296875,24951.5390625,25019.029296875,0
2026-06-22 04:00:00+00:00,25035.9296875,25082.779296875,24985.16015625,25009.439453125,0
2026-06-22 08:00:00+00:00,25008.58984375,25012.23046875,24896.189453125,24999.109375,0
2026-06-22 12:00:00+00:00,24999.109375,25176.2109375,24979.369140625,25148.990234375,0
2026-06-23 04:00:00+00:00,24835.560546875,24873.5390625,24769.689453125,24790.400390625,0
2026-06-23 08:00:00+00:00,24790.69921875,24925.919921875,24728.5703125,24903.509765625,0
2026-06-23 12:00:00+00:00,24904.109375,24988.7109375,24854.619140625,24935.919921875,0
2026-06-24 04:00:00+00:00,24790.69921875,24800.66015625,24669.44921875,24698.48046875,0
2026-06-24 08:00:00+00:00,24698.720703125,24735.94921875,24606.330078125,24663.44921875,0
2026-06-24 12:00:00+00:00,24663.5390625,24721.41015625,24593.48046875,24713.509765625,0
2026-06-25 04:00:00+00:00,24810.0,24859.240234375,24761.720703125,24859.240234375,0
2026-06-25 08:00:00+00:00,24858.91015625,24929.8203125,24826.080078125,24910.880859375,0
2026-06-25 12:00:00+00:00,24910.880859375,25088.279296875,24842.669921875,24995.689453125,0
2026-06-26 04:00:00+00:00,24848.509765625,24869.630859375,24792.23046875,24818.810546875,0
2026-06-26 08:00:00+00:00,24818.91015625,24824.349609375,24664.859375,24669.509765625,0
